Company	Major	Grade	Award	Semester	Need/No Need	Rexburg	Rigby	Idaho Falls	IF	Sugar City	St Anthony	Ammon	Blackfoot	Pocatello	Driggs	Refs	Location	Paid/Unpaid	International?	Married?	Scheduled hours			Notes				
Easy Event Planning, LLC.	"Business Finance (UG20-BS)
"	3rd year undergraduate/junior	500	FA21	No Need											No Need	Outside	Unpaid	Yes		working 20 	22	33	Single international working 20 hrs/wk unpaid in Nevada with no need 	20	 in Nevada	46	56
BYUI Outdoor resource center 	Construction Management (UG21-BS)	3rd year undergraduate/junior	250	FA21	No Need											Rexburg	Outside	Paid		Yes	working 20 	9	20	Married working 20 hrs/wk paid in Menan ID with no need, but has travel expense	20	 in Menan ID	31	43
Polaris Ind.	Advanced Vehicle Systems (UG20-BS)	4th year undergraduate/senior	500	FA21	No Need											Rigby	Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in MN with no need but travel expenses	40	 in MN	44	50
"Hire Integrated	"	"Business Management (UG21-BS)
"	4th year undergraduate/senior	250	FA21	No Need											Idaho Falls	Outside	Paid			working 30 	8	19	Single working 30 hrs/wk paid with some travel in UT with no need	30	#VALUE!	47	30
Electric Chicken	"Construction Management (UG20-BS)
"	4th year undergraduate/senior	250	FA21	No Need											IF	Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in MT with no need	40	 in MT	30	36
Premier Realty Investment	Virtual Design & Const (UG19-BS)	4th year undergraduate/senior	750	FA21	Need											Sugar City	Outside	Paid	Yes		working26 	22	32	single international working26 hrs/wk paid in UT with travel expenses	26	 in UT	43	49
BYUI Child Labs	Child Development-General (UG17-BS)	4th year undergraduate/senior	250	FA21	Need	Rexburg										St Anthony	Eastern Idaho	Paid			working 24 	8	19	Single working 24 hrs/wk paid in Rexburg 	24	#VALUE!	30	#VALUE!
Sapien Designs	Bus Mgmt Marketing (UG19-BS)	4th year undergraduate/senior	250	FA21	Need	Rexburg										Ammon	Eastern Idaho	Unpaid			working 30 	8	19	Single working 30 hrs/wk in Rexburg unpaid 	30	#VALUE!	25	#VALUE!
HHI Corporation	Construction Management (UG20-BS)	3rd year undergraduate/junior	375	FA21	Need											Blackfoot	Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in CA 	40	#VALUE!	30	#VALUE!
Engineering system solutions	"Mechanical Engineering (UG16-BS)
"	4th year undergraduate/senior	500	FA21	Need			Idaho Falls								Pocatello	Eastern Idaho	Paid		Yes	working 20 	9	20	Married working 20 hrs/wk paid in Idaho Falls with travel expense	20	 in Idaho Falls	31	46
Tueller Counseling Services	Social Work (UG19-BS)	4th year undergraduate/senior	750	FA21	Need	Rexburg										Driggs	Eastern Idaho	Unpaid	Yes	Yes	working 21 	23	34	Married international working 21 hrs/wk unpaid in Rexburg 	21	#VALUE!	47	#VALUE!
Family Crisis Center 	Fam & Consum Sci Ed Comp (UG19-BS)	4th year undergraduate/senior	184	FA21	No Need	Rexburg										Outside	Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Rexburg with no need	20	 in Rexburg	32	43
Karshaw Intermediate	Social Work (UG19-BS)	4th year undergraduate/senior	375	FA21	No Need											Paid	Outside	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in St. Anthony with no need, but travel expense	20	 in St. Anthony	33	48
